ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Comment,Countries,ELCatMacroareas,classification,endangerment,code_authorities,codes,alt_names
10442,Ndoola,,7.29,11.31,ndoo1241,ndr,,NG CM,Africa,Niger-Congo,vulnerable,ISO 639-3,ndr,Ndola; Ndoro; Ndooro; Njoyame; Nundoro
10444,Buu (Nigeria),,9.57,10.28,zara1252,,,NG,Africa,Afro-Asiatic,severely endangered,LINGUIST List,gji-zar,Zaranda; Zarandaa
10445,Pa'a,,11.066538,9.567203,paaa1242,pqa,,NG,Africa,Afro-Asiatic,threatened,ISO 639-3,pqa,Paa; Pa'anci; Fucaka; Fuuceka; Afa; Afawa; Afanci; Pala; Pa'awa; Fa'awa; Foni
10450,Dyarim,,10.033333,9.066667,dyar1234,,,NG,Africa,Afro-Asiatic,severely endangered,,,Dyarum; Dyàrìm Tə́; Dyarim Tə; Ndyarim Tə; Kaiwari; Kayaurinci
10451,Sasak,,-8.583333,116.116667,sasa1249,sas,,ID,Southeast Asia,Austronesian,at risk,ISO 639-3,sas,
10452,Chaari,,10.05,9.283333,dans1239,,,NG,Africa,Afro-Asiatic,endangered,,,Chari; Caari; Cààrí; Danshe; Danche
10453,Tule,,,,nucl1693,,,NG,Africa,Afro-Asiatic,dormant,,,Tulai
10454,Yakut,,62.3496,130.8691,yaku1245,sah,,RU,Caucasus; Europe; East Asia,Turkic,vulnerable,ISO 639-3,sah,Sakha; якутский язык; Saxa tıla; Саха тыла; Yakutça; Yakut Türkçesi; Saha Türkçesi; Yakoute; Yakuto; 雅库特语; 야쿠트어; サハ語
10455,Salar,,36.2752,102.4584,sala1264,slr,,CN,East Asia,Turkic,threatened,ISO 639-3,slr,撒拉語; саларский
10457,Iraya,,13.3,120.9,iray1237,iry,,PH,Southeast Asia,Austronesian,vulnerable,ISO 639-3,iry,
10458,Isinay,,16.3,121.1,isin1239,inn,"The Isinay language used in formal writing is based on the dialect used in Dupax del Sur. (Reid et al., 2016)",PH,Southeast Asia,Austronesian,critically endangered,ISO 639-3,inn,Isinai; Inmeas; Malaates
10461,Limousin,,46.0579,1.8017,limo1246,,A variety of Occitan.,FR,Europe,Indo-European,at risk,LINGUIST List,oci-lim,Limousin Occitan; Lemosin; Occitan Limousin
10462,Lushi,,10.059639,9.07063,lush1256,,,NG,Africa,Afro-Asiatic,dormant,,,Lukshi; Dokshi
10463,Langas,,10.17,9.83,lang1332,,,NG,Africa,Afro-Asiatic,endangered,,,Laŋas; Nyamzak; Nyamzax; Nyámzax; Lundur
10464,Zul,,10.2,9.566667,zull1239,,"""The Zul language is part of the Polci cluster... It is said to be the same as (m)Barma or Mbaram in older sources, but Mbaram is probably a related dialect."" (Blench 2014)",NG,Africa,Afro-Asiatic,threatened,,,Zùl; Bi Zule; Mbarmi; Barma; Zulawa; Zull
10465,Dir,,10.208333,9.708333,dirr1240,,,NG,Africa,Afro-Asiatic,endangered,,,Diir; Dììr; Diri; Dra; Baram Dutse
10466,Buli,,10.233333,9.783333,buli1260,,"Not to be confused with Buli spoken on Halmahera Island, Indonesia.",NG,Africa,Afro-Asiatic,endangered,,,Bili; Bɨlɨ; Bələ
10467,Tunayana,,2.356611,-56.79421,tuna1234,,"Some consider Tunayana a dialect of Waiwai, for example Ethnologue (2016). ",GY SR,South America,Cariban,critically endangered,,,Katuena
10470,Ordos,,39.612,109.781,ordo1245,,Ethnologue lists it as a dialect of Peripheral Mongolian [mvf]. ,CN,East Asia,Mongolic,vulnerable,,,Urdus
10471,Minhe Monguor,,36.4919,102.6452,minh1238,,Minhe Monguor is listed as a dialect of Tu [mjg] in Ethnologue. ,CN,East Asia,Mongolic,vulnerable,,,Minhe Mangghuer; Mangghuer; Monguor de Minhe; минхэ-монгорский; 民和土家語
10472,Kili,,48.8068,134.121,kuro1242,,Kili is basically Nanai with Ewenki phonetics.,RU,Caucasus; Europe; East Asia,Tungusic,endangered,,,Kur-Urmi Nanay; Kur-Urmi Nanai; кили
10473,Kilen,,47.4689,133.8574,kile1243,,"""The speakers of Kilen on the Chinese side are officially listed as Hezhe (Hedjen, Chinese Nanai). And it is better described as Nanai with Udeghe phonetics."" (Juha Janhunen, p.c.)",RU CN,Caucasus; Europe; East Asia,Tungusic,severely endangered,,,Sungari Nanay; килен; 赫哲語奇楞方言; Sungari Nanai; Akani
10474,Kamas,,57.9964,92.8784,kama1351,xas,,RU,Caucasus; Europe; East Asia,Uralic,dormant,ISO 639-3,xas,Kamassian; камасинский язык; калмажи шəкə; ʒaǯ̕ kall; kamassin kieli; Kamasse
10475,Kumandin,,52.884889,86.323299,kuma1284,,,RU,Caucasus; Europe; East Asia,Turkic,endangered,,,Qumanda; Northern Altai; Куванды; куванта; кувандык; кувандыг; кувандых; къуманды; къубанды; къуўанды; къувандыг; кумандинский язык; северно-алтайский язык; Qumandy
10479,Tuha,,50.95334449,101.64276123,tuha1234,,"For taxonomic and language revitalization purposes, Uighur Uryangkhai is best recognized as a separate language (Juha Janhunen, p.c.).",MN,East Asia,Turkic,critically endangered,,,Uyghur Uryangkha; Uighur Uryangkhai; Khövsgöl Uryangkhay; Khövsgöl Uryangkhai; уйгуро-урянхайский; Soyot Uryangkhai; Soyed
10480,Soyot,,52.0406,101.0659,soyo1234,,"For taxonomic and language revitalization purposes, Soyot is best recognized as a separate language (Juha Janhunen p.c.).  Also, Soyot is linguistically very close to Tofa [kim]. (Валентин Рассадин, p.c.)",RU,Caucasus; Europe; East Asia,Turkic,awakening,,,Soyote; Tuva; сойотский язык; сойоты
10481,Lopnor Uighur,,40.983,84.224,lopn1238,,"""The Lopnor dialect is considered one of the three regional varieties of Uyghur in the Xinjiang Uyghur Autonomous Region. It is spoken by approximately less than 0.5% of the Uyghur population. Nevertheless, it occupies a special position not only among the regional varieties of Uyghur, but also in comparative research on Turkic languages. It also provides a crucial data for language contact in this area. The Lopnor dialect displays a set of unique phonological, morphological and syntactic features alien to other varieties of Uyghur. Its lexicon contains exceptional items relating to fishing and some rare Old Turkic words and copies (loan words) from Mongolian. Thus, some scholar consider it as an independent language rather than a variety of Uyghur."" (Abdurehim 2014: 26)",CN,East Asia,Turkic,critically endangered,,,Lopluk; 維吾爾語羅布話
10482,Khamnigan Ewenki,,49.296,119.797,manc1253,,"Khamnigan in the technical sense refers to the Khamnigan ethnic group, and their common community language was Khamnigan Mongol. However, historically a considerable part of the Khamnigan also have spoken dialects of Ewenki, a Tungusic language. (Juha Janhunen, p.c.)",RU CN MN,Caucasus; Europe; East Asia,Tungusic,threatened,,,Khamnigan Evenki; Khamnigan Tungus; Horse Tungus; Tungus Evenki; 通古斯鄂溫克
10484,Judeo-Iraqi Arabic,,31.5339,41.2595,jude1266,yhd,,IL IQ,Near East,Afro-Asiatic,at risk,ISO 639-3,yhd,Judeo-Baghdadi
10485,Zari,,9.71,9.4,zari1242,zaz,,NG,Africa,Afro-Asiatic,dormant,ISO 639-3,zaz,Zariwa; Kopti; Kwapm
10488,Boto,,9.733333,9.233333,boto1248,,,NG,Africa,Afro-Asiatic,endangered,LINGUIST List,zaz-bot,Boot; Bibot
10489,Zakshi,,9.733333,9.233333,zaks1239,,,NG,Africa,Afro-Asiatic,endangered,LINGUIST List,zaz-zak,Zaksi; Zaksə
10493,Dass,,9.9325,9.51838,dass1243,dot,,NG,Africa,Afro-Asiatic,threatened,ISO 639-3,dot,Barawa; Bandas; Boodli; Lukshi; Dekshi; Wangday; Zumbul; Durr-Baraza; Wandi; Dot; Dwat; Zodi
10495,Guus,,,,sigi1234,,,NG,Africa,Afro-Asiatic,threatened,LINGUIST List,say-sig,Sigidi; Sugudi; Sigdi; Segiddi
10499,Judeo-Isfahani,,32.6333,51.65,jude1276,,"""Ethnologue uses the designation “Dzhidi” (i.e., Jidi) for all Iranian dialects spoken by the Iranian Jews. Having given the alternative name Judeo-Persian, with the identifier [jpr], the Ethnologue classifies Dzhidi under “Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian,” and further describes it as being “similar” to Bukharic [bhh] and Iranian Persian [pes], noting that Dzhidi employs the Hebrew script for writing (Ethnologue, s.v. “Dzhidi”). This data could not be more inaccurate. First, Jidi is a designation used by the speakers of the Jewish dialect of Isfahan (Judeo-Isfahani), and does not necessarily apply to the Jewish dialects native to other towns. Secondly, as we shall see below, the native Jewish dialects spoken in various towns are very far from constituting a homogeneous whole and therefore cannot be lumped together collectively as a single language. Thirdly, these dialects or languages, which we refer to here as Judeo-Median, are from the Northwest branch of Iranian family, genealogically distinct from Persian, a Southwest Iranian language, and also from Bukhari (and Juhuri). Finally, in contrast to Judeo-Persian, with its long written tradition, Judeo-Median has survived in spoken form only."" (Habib Borjian 2014)",IR,Near East,,,,,Jidi
10500,Judeo-Kashani,,33.9889,51.4772,kash1276,,"""Ethnologue uses the designation “Dzhidi” (i.e., Jidi) for all Iranian dialects spoken by the Iranian Jews. Having given the alternative name Judeo-Persian, with the identifier [jpr], the Ethnologue classifies Dzhidi under “Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian,” and further describes it as being “similar” to Bukharic [bhh] and Iranian Persian [pes], noting that Dzhidi employs the Hebrew script for writing (Ethnologue, s.v. “Dzhidi”). This data could not be more inaccurate. First, Jidi is a designation used by the speakers of the Jewish dialect of Isfahan (Judeo-Isfahani), and does not necessarily apply to the Jewish dialects native to other towns. Secondly, as we shall see below, the native Jewish dialects spoken in various towns are very far from constituting a homogeneous whole and therefore cannot be lumped together collectively as a single language. Thirdly, these dialects or languages, which we refer to here as Judeo-Median, are from the Northwest branch of Iranian family, genealogically distinct from Persian, a Southwest Iranian language, and also from Bukhari (and Juhuri). Finally, in contrast to Judeo-Persian, with its long written tradition, Judeo-Median has survived in spoken form only."" (Habib Borjian 2014)",IR,Near East,,,,,
10501,Judeo-Yazdi,,31.8972,54.3678,yazd1240,,"""Ethnologue uses the designation “Dzhidi” (i.e., Jidi) for all Iranian dialects spoken by the Iranian Jews. Having given the alternative name Judeo-Persian, with the identifier [jpr], the Ethnologue classifies Dzhidi under “Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian,” and further describes it as being “similar” to Bukharic [bhh] and Iranian Persian [pes], noting that Dzhidi employs the Hebrew script for writing (Ethnologue, s.v. “Dzhidi”). This data could not be more inaccurate. First, Jidi is a designation used by the speakers of the Jewish dialect of Isfahan (Judeo-Isfahani), and does not necessarily apply to the Jewish dialects native to other towns. Secondly, as we shall see below, the native Jewish dialects spoken in various towns are very far from constituting a homogeneous whole and therefore cannot be lumped together collectively as a single language. Thirdly, these dialects or languages, which we refer to here as Judeo-Median, are from the Northwest branch of Iranian family, genealogically distinct from Persian, a Southwest Iranian language, and also from Bukhari (and Juhuri). Finally, in contrast to Judeo-Persian, with its long written tradition, Judeo-Median has survived in spoken form only."" (Habib Borjian 2014)",IR,Near East,,,,,
10502,Judeo-Hamadani,,34.8,48.5167,jude1271,,"""Ethnologue uses the designation “Dzhidi” (i.e., Jidi) for all Iranian dialects spoken by the Iranian Jews. Having given the alternative name Judeo-Persian, with the identifier [jpr], the Ethnologue classifies Dzhidi under “Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian,” and further describes it as being “similar” to Bukharic [bhh] and Iranian Persian [pes], noting that Dzhidi employs the Hebrew script for writing (Ethnologue, s.v. “Dzhidi”). This data could not be more inaccurate. First, Jidi is a designation used by the speakers of the Jewish dialect of Isfahan (Judeo-Isfahani), and does not necessarily apply to the Jewish dialects native to other towns. Secondly, as we shall see below, the native Jewish dialects spoken in various towns are very far from constituting a homogeneous whole and therefore cannot be lumped together collectively as a single language. Thirdly, these dialects or languages, which we refer to here as Judeo-Median, are from the Northwest branch of Iranian family, genealogically distinct from Persian, a Southwest Iranian language, and also from Bukhari (and Juhuri). Finally, in contrast to Judeo-Persian, with its long written tradition, Judeo-Median has survived in spoken form only."" (Habib Borjian 2014)",IL IR,Near East,Indo-European,endangered,,,
10503,Judeo-Shirazi,,29.6167,52.5333,shir1258,,"""Ethnologue uses the designation “Dzhidi” (i.e., Jidi) for all Iranian dialects spoken by the Iranian Jews. Having given the alternative name Judeo-Persian, with the identifier [jpr], the Ethnologue classifies Dzhidi under “Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian,” and further describes it as being “similar” to Bukharic [bhh] and Iranian Persian [pes], noting that Dzhidi employs the Hebrew script for writing (Ethnologue, s.v. “Dzhidi”). This data could not be more inaccurate. First, Jidi is a designation used by the speakers of the Jewish dialect of Isfahan (Judeo-Isfahani), and does not necessarily apply to the Jewish dialects native to other towns. Secondly, as we shall see below, the native Jewish dialects spoken in various towns are very far from constituting a homogeneous whole and therefore cannot be lumped together collectively as a single language. Thirdly, these dialects or languages, which we refer to here as Judeo-Median, are from the Northwest branch of Iranian family, genealogically distinct from Persian, a Southwest Iranian language, and also from Bukhari (and Juhuri). Finally, in contrast to Judeo-Persian, with its long written tradition, Judeo-Median has survived in spoken form only."" (Habib Borjian 2014)",IR,Near East,,,,,Jidi
10509,Ulwa,,-4.483,144.015,yaul1241,yla,,PG,Pacific,Mongol-Langam-Ulwa,severely endangered,ISO 639-3,yla,Yaul
10517,Langam,,-4.3,143.88,lang1328,lnm,,PG,Pacific,Mongol-Langam-Ulwa,endangered,ISO 639-3,lnm,
10518,Mongol-Kaimba,,-4.26,143.92,mong1344,mgt,,PG,Pacific,Mongol-Langam-Ulwa,endangered,ISO 639-3,mgt,Mongol
10519,Momare,,-6.34,147.79,moma1243,msz,,PG,Pacific,Trans-New Guinea,endangered,ISO 639-3,msz,Momale; Momole; Mumare
10520,Rema,,-8.42,141.03,rema1238,bow,,PG,Pacific,Morehead-Upper Maro,severely endangered,ISO 639-3,bow,Bothar
10521,Tumleo,,-3.12,142.4,tuml1238,tmq,,PG,Pacific,Austronesian,endangered,ISO 639-3,tmq,
10522,Kap,,-3.13,142.47,kapp1237,ykm,,PG,Pacific,Austronesian,threatened,ISO 639-3,ykm,Ali; Yakamul
10523,Ulau-Suain,,-3.35,142.9,ulau1237,svb,,PG,Pacific,Austronesian,threatened,ISO 639-3,svb,Suain
10524,Kairiru,,-3.33,143.55,kair1263,kxa,,PG,Pacific,Austronesian,threatened,ISO 639-3,kxa,
10525,Wogeo,,-3.22,144.1,woge1237,woc,,PG,Pacific,Austronesian,threatened,ISO 639-3,woc,Wokeo; Uageo
